title,author,rating,publisher,pages,category,language
Adventures of Tom and Jerry,Disney Author,3.2,Disney,203,Adventure,English
Waves in Oceans,Water person,4.9,Books stories inc,300,Economics,English
Gerry Biography,Corey,1.3,Books stories inc,25,Biography,English
Waves in Oceans,Water person,4.9,Books stories inc,300,Adventure,English
Green Lantern,Marvel Man,4.9,Movie book inc,12,Superheroes,English
Monkey on the vine,Curious George,1.3,Nickelodeon,212,Adventure,English
Value of money,Adam May,N/A,Mystery inc,20,Adventure,English
Batman van,Marvel Man,2.3,Bat inc,10,Superheroes,English
Waves in Oceans,Water person,1.3,Books stories inc,300,Economics,English
Money is green,Bill Gates,2.5,Disney,26,Economics,English
Bank dollars,Bank Joe,1.3,Paper inc,26,Economics,English
Value of money,Adam May,N/A,Mystery inc,20,Economics,English
Adventures of Tom and Jerry,Disney Author,3.2,Disney,203,Superheroes,English
Batman van,Marvel Man,2.3,Bat inc,10,Adventure,English
